"Time";"S";"I";"R"
89;0.0340177371988788;2.35738689332975e-05;0.965958688932187
90;0.0340172214716672;1.97579831533032e-05;0.965963020545179
91;0.0340167891557512;1.65592102585129e-05;0.96596665163399
92;0.0340164268818341;1.38786532098013e-05;0.965969694464955
93;0.0340161232562759;1.16320251732781e-05;0.96597224471855
94;0.034015868782284;9.74906851406463e-06;0.965974382149201
95;0.034015655503237;8.17091761543926e-06;0.965976173579147
96;0.0340154767502354;6.84823227630229e-06;0.965977675017488
97;0.0340153269340082;5.73965888267546e-06;0.965978933407109
98;0.034015201370146;4.81053789472954e-06;0.965979988091959
99;0.0340150961325975;4.03182025606452e-06;0.965980872047146
100;0.0340150079308912;3.37915921669748e-06;0.965981612909892
101;0.0340149340072372;2.83214916125514e-06;0.965982233843601
